ID,Date,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Latitude,Longitude
13051561,1/1/2022 0:00,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,False,False,1234,12.0,28.0,,
12978999,1/1/2022 0:00,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,NURSING / RETIREMENT HOME,False,False,1523,15.0,37.0,,
13018420,1/1/2022 0:00,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,False,1134,11.0,24.0,,
12957426,1/1/2022 0:00,OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,False,False,632,6.0,8.0,,
12985196,1/1/2022 0:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,1632,16.0,36.0,,
13122628,1/1/2022 0:00,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,RESIDENCE,False,True,1632,16.0,38.0,,
13092986,1/1/2022 0:00,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,APARTMENT,False,False,735,7.0,17.0,,
12979167,1/1/2022 0:00,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,False,True,1013,10.0,22.0,,
13060299,1/1/2022 0:00,THEFT,$500 AND UNDER,STREET,False,False,2233,22.0,21.0,,
13117758,1/1/2022 0:00,OTHER OFFENSE,TELEPHONE THREAT,COMMERCIAL / BUSINESS OFFICE,False,False,1724,17.0,33.0,,
12941859,1/1/2022 0:00,BATTERY,SIMPLE,STREET,False,False,1821,18.0,2.0,,
12969871,1/1/2022 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER (SPECIFY),False,False,1911,19.0,47.0,,
13002739,1/1/2022 0:00,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,APARTMENT,False,True,734,7.0,17.0,,
12976975,1/1/2022 0:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,611,6.0,17.0,,
12949194,1/1/2022 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,523,5.0,9.0,,
13066125,1/1/2022 0:01,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,2433,24.0,48.0,,
13019330,1/1/2022 0:01,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,APARTMENT,False,True,2424,24.0,49.0,,
13023110,1/1/2022 0:01,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,False,True,712,7.0,16.0,,
12583079,1/1/2022 1:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,923,9.0,14.0,,
12581955,1/1/2022 2:04,BATTERY,SIMPLE,HOTEL / MOTEL,True,False,1834,18.0,42.0,41.88899385,-87.62693483
12582631,1/1/2022 2:30,THEFT,$500 AND UNDER,STREET,False,False,715,7.0,16.0,41.79329893,-87.66456619
12582227,1/1/2022 2:34,CRIMINAL DAMAGE,TO PROPERTY,APPLIANCE STORE,False,False,312,3.0,20.0,41.78031115,-87.61166318
12665298,1/1/2022 3:00,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,False,True,813,8.0,13.0,,
